ID;SHOP_ID;NAME;SECTION
1;1;Sukienka letnia Basic;Odzież damska
2;1;Bluza męska Urban Fit;Odzież męska
3;1;Kurtka dziecięca SoftShell;Odzież dziecięca
4;1;Sneakersy Street Run;Obuwie
5;1;Plecak sportowy Active;Akcesoria sportowe
6;2;Tort czekoladowy klasyczny;Torty, desery
7;2;Zestaw pralinek premium;Cukierki, słodycze
8;2;Babeczki waniliowe 6 szt.;Ciasta, wypieki
9;2;Kawa mrożona firmowa;Napoje
10;2;Zestaw prezentowy słodki;Prezenty, zestawy upominkowe
11;3;Koszulka treningowa Performance;Sport / trening
12;3;Buty biegowe RunFast;Obuwie
13;3;Bluza z kapturem Lifestyle;Outdoor / lifestyle
14;3;Spodenki piłkarskie Pro;Odzież męska
15;3;Plecak treningowy Adidas;Akcesoria
16;4;Woda perfumowana Floral Dream;Perfumy
17;4;Paleta cieni Nude Look;Kosmetyki (makijaż)
18;4;Krem nawilżający Hydra Skin;Pielęgnacja twarzy
19;4;Zestaw prezentowy Beauty Box;Zestawy prezentowe / pakiety
20;4;Balsam do ciała Vanilla Touch;Pielęgnacja ciała
21;5;Złoty pierścionek z diamentem;Obrączki i pierścionki zaręczynowe
22;5;Kolczyki srebrne Classic;Biżuteria damska
23;5;Zegarek męski Elegant Steel;Zegarki
24;5;Obrączki ślubne Satin Gold;Kolekcje ślubne
25;5;Bransoleta męska Leather;Biżuteria męska
26;6;Kurtka trekkingowa StormPro;Outdoor / trekking
27;6;Polar damski Active Warm;Odzież damska
28;6;Spodnie softshell męskie;Odzież męska
29;6;Buty górskie Alpine Trek;Obuwie
30;6;Czapka zimowa Outdoor;Akcesoria
31;7;Bransoletka z grawerem Heart;Personalizowana biżuteria z grawerem
32;7;Naszyjnik złocony Minimal;Naszyjniki
33;7;Kolczyki klasyczne Pearl;Kolczyki
34;7;Pierścionek regulowany Shine;Pierścionki
35;7;Bransoletka męska Steel;Biżuteria męska
36;8;Kolczyki złote Sparkle;Biżuteria złota
37;8;Bransoletka srebrna Wave;Biżuteria srebrna
38;8;Zestaw biżuterii Elegance;Zestawy biżuterii
39;8;Nausznice Trendy Look;Nausznice
40;8;Karta podarunkowa 200 zł;Karty podarunkowe / e-vouchery
41;9;Bukiet róż klasycznych;Kwiaty (bukiety)
42;9;Balon foliowy serce;Balony
43;9;Box kwiatowy premium;Kompozycje kwiatowe
44;9;Zestaw balonów z helem;Balony
45;9;Upominek dekoracyjny Love;Upominki / prezenty / dekoracje
46;10;Paracetamol 500mg;Leki bez recepty
47;10;Magnez + B6 Forte;Suplementy diety
48;10;Krem nawilżający Sensitive Skin;Sensitive Skin,Dermokosmetyki
49;10;Szampon regenerujący Repair;Kosmetyki do włosów
50;10;Zestaw do makijażu Basic Beauty;Akcesoria do makijażu
51;11;Pierścionek zaręczynowy z diamentem 0.3ct;Pierścionki zaręczynowe
52;11;Obrączki ślubne złote 585 (para);Obrączki ślubne
53;11;Naszyjnik złoty z brylantem;Biżuteria z diamentami / brylantami
54;11;Bransoletka srebrna na prezent;Biżuteria srebrna
55;11;Kolczyki złote serca;Biżuteria na prezent
56;12;Konto osobiste 360°;Otwarcie kont osobistych
57;12;Kredyt gotówkowy online;Kredyty i pożyczki
58;12;Karta kredytowa Visa Gold;Karty płatnicze i kredytowe
59;12;Aplikacja mobilna Milenium;Bankowość elektroniczna i mobilna
60;12;Konto firmowe Premium;Obsługa kont firmowych
61;13;Konto Direct;Konta osobiste
62;13;Konto oszczędnościowe Otwarte;Konta oszczędnościowe
63;13;Kredyt hipoteczny ING;Kredyty i pożyczki
64;13;Karta debetowa Mastercard;Karty płatnicze
65;13;Bankowość internetowa Moje ING;Bankowość elektroniczna i mobilna
66;14;Szampon regenerujący Keratin Pro;Pielęgnacja włosów
67;14;Maska odbudowująca Hair Repair;Pielęgnacja włosów
68;14;Olejek arganowy do włosów;Uroda i pielęgnacja skóry głowy
69;14;Profesjonalna suszarka fryzjerska;Sprzęt fryzjerski
70;14;Pianka zwiększająca objętość;Stylizacja włosów
71;15;Bluza oversize z kapturem;Moda młodzieżowa
72;15;T-shirt basic biały;Odzież codzienna
73;15;Spodnie cargo streetwear;Odzież streetwear
74;15;Sneakersy chunky;Obuwie
75;15;Torebka crossbody;Akcesoria modowe
76;16;Okulary korekcyjne damskie;Okulary korekcyjne
77;16;Okulary przeciwsłoneczne UV400;Okulary przeciwsłoneczne
78;16;Soczewki progresywne premium;Soczewki okularowe
79;16;Oprawki metalowe męskie;Oprawki okularowe
80;16;Badanie wzroku komputerowe;Usługi optyczne
81;17;Jeansy slim fit męskie;Jeansy
82;17;Jeansy high waist damskie;Jeansy
83;17;Kurtka jeansowa klasyczna;Kurtki
84;17;Koszulka z logo Big Star;Koszulki
85;17;Spodnie chino casual;Spodnie
86;18;Kolczyki pozłacane koła;Biżuteria
87;18;Naszyjnik minimalistyczny;Biżuteria
88;18;Bransoletka z zawieszką;Biżuteria
89;18;Opaska do włosów satynowa;Akcesoria modowe
90;18;Torebka wieczorowa;Akcesoria modowe
91;19;Bluza Quiksilver z kapturem;Odzież
92;19;T-shirt DC Shoes;Odzież
93;19;Buty skate DC Pure;Obuwie
94;19;Plecak surfowy Roxy;Akcesoria
95;19;Czapka Billabong snapback;Akcesoria
96;20;Garnitur wełniany slim fit;Garnitury
97;20;Marynarka biznesowa klasyczna;Marynarki
98;20;Koszula męska premium biała;Koszule
99;20;Sweter merino z dekoltem V;Swetry
100;30;Kurtka damska przejściowa;Odzież damska
101;30;Sukienka codzienna;Odzież damska
102;30;Koszula męska casual;Odzież męska
103;30;Spodnie chinos;Odzież męska
104;30;Bluza bawełniana;Odzież casual / codzienna
105;20;Płaszcz wełniany zimowy;Płaszcze
106;21;Bransoletka pozłacana z kamieniami;Bransoletki
107;21;Naszyjnik z zawieszką;Naszyjniki
108;21;Kolczyki kryształowe;Kolczyki
109;21;Pierścionek regulowany;Pierścionki
110;21;Broszka ozdobna;Broszki
111;22;Garnitur męski Business Line;Garnitury
112;22;Koszula slim fit;Koszule
113;22;Kurtka przejściowa;Kurtki
114;22;Polo bawełniane;Polo
115;22;Pasek skórzany klasyczny;Akcesoria
116;23;Garnitur męski Elegance;Garnitury
117;23;Koszula formalna biała;Koszule
118;23;Krawat jedwabny;Krawaty
119;23;Bluza casual;Bluzy
120;23;Pasek skórzany;Paski
121;24;Sukienka damska codzienna;Odzież damska
122;24;Jeansy męskie;Odzież męska
123;24;Kurtka dziecięca;Odzież dziecięca
124;24;Bluza młodzieżowa;Moda młodzieżowa
125;24;Czapka zimowa;Akcesoria odzieżowe
126;25;Bluzka damska casual;Odzież damska
127;25;Spodnie męskie slim;Odzież męska
128;25;Sukienka modowa;Odzież casual/modowa
129;25;Pasek modowy;Akcesoria
130;25;Torebka miejska;Akcesoria
131;26;Rajstopy kryjące 60 DEN;Rajstopy
132;26;Skarpety bawełniane;Skarpety
133;26;Pończochy samonośne;Pończochy
134;26;Kostium kąpielowy jednoczęściowy;Kostiumy kąpielowe
135;26;Bielizna męska – bokserki;Bielizna męska
136;27;Chleb pszenny;Pieczywo
137;27;Mleko UHT 2%;Nabiał
138;27;Proszek do prania;Chemia gospodarcza
139;27;Telewizor LED 55”;AGD i RTV
140;27;Koszulka basic;Odzież
141;28;Pakiet TV CANAL+ Sport;Subskrypcje TV
142;28;Abonament Internet domowy;Internet domowy
143;28;Pakiet telefonii komórkowej;Telefonia komórkowa
144;28;Usługa montażu dekodera;Usługi instalacyjne
145;28;Dekoder 4K;Sprzęt TV
146;29;Żelki owocowe mix;Słodycze
147;29;Lizaki kolorowe;Cukierki
148;29;Popcorn karmelowy;Przekąski
149;29;Napój gazowany wiśniowy;Napoje
150;29;Czekolada mleczna;Słodycze
151;31;Cabernet Sauvignon;Wina czerwone
152;31;Riesling półsłodki;Wina białe
153;31;Prosecco DOC;Wina musujące
154;31;Whisky Jack Daniel’s;Alkohole mocne
155;31;Korkociąg sommeliera;Akcesoria do wina
156;32;Szpilki lakierowane;Obuwie damskie
157;32;Buty biegowe Nike;Obuwie męskie
158;32;Kozaki dziecięce zimowe;Obuwie dziecięce
159;32;Torebka shopper;Torebki
160;32;Pasek skórzany;Akcesoria
