ID;NAME;CATEGORIES
1;4F;Odzież damska, Odzież męska, Odzież dziecięca, Obuwie,Akcesoria Sportowe
2;A.Blikle;Ciasta, wypieki, Cukierki, słodycze, Torty, desery, Napoje, Prezenty, zestawy upominkowe
3;Adidas;Odzież damska, Odzież męska, Odzież dziecięca, Obuwie, Akcesoria, Sport / trening, Outdoor / lifestyle
4;Adopt;Perfumy, Kosmetyki (makijaż), Pielęgnacja ciała i twarzy, Zestawy prezentowe / pakiety
5;Apart;Biżuteria damska, Biżuteria męska, Zegarki, Obrączki i pierścionki zaręczynowe, Kolekcje ślubne
6;Alpine Pro;Odzież damska, Odzież męska, Odzież dziecięca, Obuwie, Akcesoria, Outdoor / trekking, Sport / trening, Kurtki i płaszcze
7;Ami Bijoux;Biżuteria damska, Biżuteria męska, Bransoletki, Naszyjniki, Pierścionki, Kolczyki, personalizowana biżuteria z grawerem
8;Ania Kruk;Biżuteria damska, kolczyki, bransoletki, naszyjniki, pierścionki, nausznice, Biżuteria złota, Biżuteria srebrna, Zestawy biżuterii, Karty podarunkowe / e‑vouchery
9;Ballons&Flowers Bar;Kwiaty (bukiety), Balony (różne typy balonów, w tym z helem), Kompozycje kwiatowe, Upominki / prezenty / dekoracje
10;Super-Pharm;Leki na receptę, Leki bez recepty, Suplementy diety, Witaminy i minerały, Kosmetyki do twarzy, Kosmetyki do ciała, Kosmetyki do włosów, Dermokosmetyki, Perfumy, Makijaż, Akcesoria do makijażu, Higiena osobista, Produkty dla niemowląt, Akcesoria beauty, Produkty wellness i zdrowotne
11;Auroria;Pierścionki zaręczynowe, Obrączki ślubne, Biżuteria z diamentami / brylantami, Biżuteria złota, Biżuteria srebrna, Biżuteria na prezent
12;Bank Milenium;Usługi bankowe, Otwarcie kont osobistych, Kredyty i pożyczki (gotówkowe i hipoteczne), Karty płatnicze i kredytowe, Bankowość elektroniczna i mobilna, Obsługa kont firmowych, Przelewy i zarządzanie finansami, Bankomaty i wpłatomaty
